t,pos,vel,acc,robot
0.87,-0.040980302,-0.046290499,0.170839957,-0.119353159
0.88,-0.04143427,-0.044503107,0.178739204,-0.119093079
0.89,-0.041869968,-0.042636311,0.186679602,-0.118831736
0.9,-0.042286598,-0.040689747,0.194656415,-0.118569287
0.91,-0.042683362,-0.038663099,0.20266476,-0.118305894
0.92,-0.043059458,-0.036556103,0.210699607,-0.118041725
0.93,-0.043414081,-0.034368545,0.21875578,-0.11777695
0.94,-0.043746425,-0.032100266,0.226827956,-0.117511745
0.95,-0.044055683,-0.029751159,0.234910668,-0.117246293
0.96,-0.044341044,-0.027321176,0.2429983,-0.116980777
0.97,-0.044601702,-0.024810325,0.251085097,-0.116715388
0.98,-0.044836847,-0.022218673,0.259165157,-0.116450319
0.99,-0.045045672,-0.019546349,0.267232437,-0.116185771
1,-0.045227371,-0.016793542,0.275280752,-0.115921945
1.01,-0.045381141,-0.013960504,0.283303778,-0.115659049
1.02,-0.045506182,-0.011047553,0.291295052,-0.115397296
1.03,-0.045601695,-0.008055073,0.299247974,-0.1151369
1.04,-0.045666888,-0.004983515,0.307155809,-0.114878083
1.05,-0.045700972,-0.001833399,0.315011689,-0.114621068
1.06,-0.045703166,0.001394688,0.322808614,-0.114366083
1.07,-0.045672692,0.004700082,0.330539455,-0.114113362
1.08,-0.045608781,0.008082052,0.338196958,-0.113863138
1.09,-0.045510672,0.011539789,0.34577374,-0.113615654
1.1,-0.045377611,0.015072412,0.353262302,-0.113371151
1.11,-0.045208854,0.018678962,0.360655022,-0.113129877
1.12,-0.045003668,0.022358404,0.367944164,-0.112892083
1.13,-0.044761327,0.026109623,0.375121878,-0.112658021
1.14,-0.044481122,0.029931425,0.382180207,-0.11242795
1.15,-0.044162352,0.033822536,0.389111085,-0.112202128
1.16,-0.043804332,0.037781599,0.395906347,-0.11198082
1.17,-0.043406388,0.041807176,0.402557728,-0.111764292
1.18,-0.042967863,0.045897745,0.409056869,-0.111552811
1.19,-0.042488116,0.050051698,0.415395323,-0.111346649
1.2,-0.041966521,0.054267344,0.421564554,-0.11114608
1.21,-0.04140247,0.058542903,0.427555951,-0.11095138
1.22,-0.040795372,0.062876512,0.433360823,-0.110762827
1.23,-0.040144659,0.067266216,0.438970411,-0.110580701
1.24,-0.039449778,0.071709975,0.444375891,-0.110405284
1.25,-0.0387102,0.076205659,0.449568379,-0.110236859
1.26,-0.037925416,0.080751048,0.454538938,-0.110075712
1.27,-0.037094942,0.085343834,0.459278583,-0.109922127
1.28,-0.036218315,0.089981617,0.463778291,-0.109776393
1.29,-0.035295097,0.094661907,0.468029002,-0.109638798
1.3,-0.034324877,0.099382123,0.472021629,-0.109509631
1.31,-0.033307268,0.104139594,0.475747066,-0.10938918
1.32,-0.032241912,0.108931556,0.479196193,-0.109277735
1.33,-0.031128479,0.113755154,0.482359884,-0.109175586
1.34,-0.029966666,0.118607445,0.485229019,-0.109083022
1.35,-0.028756202,0.123485389,0.487794486,-0.109000332
1.36,-0.027496845,0.128385861,0.490047192,-0.108927804
1.37,-0.026188388,0.133305642,0.491978073,-0.108865727
1.38,-0.024830653,0.138241423,0.493578104,-0.108814385
1.39,-0.023423496,0.143189806,0.494838302,-0.108774065
1.4,-0.021966811,0.148147304,0.495749744,-0.10874505
1.41,-0.020460523,0.153110339,0.496303569,-0.10872762
1.42,-0.018904595,0.158075249,0.496490994,-0.108722057
1.43,-0.017299027,0.163038282,0.49630332,-0.108728636
1.44,-0.015643858,0.167995602,0.495731948,-0.108747632
1.45,-0.013939163,0.172943286,0.494768382,-0.108779317
1.46,-0.01218506,0.177877328,0.493404248,-0.108823958
1.47,-0.010381705,0.182793641,0.4916313,-0.108881822
1.48,-0.008529297,0.187688056,0.489441433,-0.108953168
1.49,-0.006628075,0.192556322,0.486826696,-0.109038253
1.5,-0.004678323,0.197394116,0.483779304,-0.109137332
1.51,-0.002680367,0.202197032,0.480291647,-0.109250651
1.52,-0.000634579,0.206960595,0.476356307,-0.109378453
1.53,0.001458625,0.211680256,0.471966066,-0.109520978
1.54,0.003598784,0.216351395,0.467113923,-0.109678456
1.55,0.005785387,0.220969326,0.461793104,-0.109851115
1.56,0.00801788,0.225529297,0.455997076,-0.110039175
1.57,0.010295659,0.230026492,0.449719558,-0.11024285
1.58,0.012618072,0.234456038,0.442954538,-0.110462348
1.59,0.014984417,0.238813001,0.435696284,-0.110697868
1.6,0.017393944,0.243092394,0.427939355,-0.110949603
1.61,0.019845852,0.24728918,0.419678619,-0.111217739
1.62,0.022339289,0.251398273,0.410909261,-0.111502452
1.63,0.024873353,0.255414541,0.401626802,-0.111803911
1.64,0.02744709,0.259332812,0.391827103,-0.112122277
1.65,0.030059494,0.263147876,0.38150639,-0.112457701
1.66,0.032709505,0.266854488,0.370661253,-0.112810325
1.67,0.035396015,0.270447375,0.359288672,-0.11318028
1.68,0.038117858,0.273921235,0.347386016,-0.11356769
1.69,0.040873818,0.277270746,0.334951067,-0.113972666
1.7,0.043662624,0.280490566,0.321982023,-0.114395311
1.71,0.046482954,0.283575341,0.308477512,-0.114835715
1.72,0.049333429,0.286519707,0.294436605,-0.115293958
1.73,0.052212619,0.289318296,0.279858822,-0.115770108
1.74,0.055119039,0.291965737,0.264744147,-0.116264222
1.75,0.058051151,0.294456667,0.249093031,-0.116776344
1.76,0.061007363,0.296785731,0.232906408,-0.117306507
1.77,0.06398603,0.298947588,0.216185697,-0.11785473
1.78,0.066985452,0.300936917,0.198932813,-0.11842102
1.79,0.070003879,0.302748418,0.181150174,-0.11900537
1.8,0.073039505,0.304376825,0.162840705,-0.11960776
1.81,0.076090474,0.305816904,0.144007845,-0.120228156
1.82,0.079154876,0.307063459,0.124655549,-0.120866511
1.83,0.08223075,0.308111342,0.104788298,-0.121522762
1.84,0.085316084,0.308955453,0.084411094,-0.122196833
1.85,0.088408815,0.309590748,0.063529469,-0.122888632
1.86,0.09150683,0.310012243,0.042149481,-0.123598053
